1 540.000000 100 0 100 29
0 84.100540 100 0 100 28
3 84.100540 100 0 100 28
3 84.100540 100 0 90 27
1 84.100540 80 1 80 27
0 84.082962 80 0 80 27
3 84.082962 100 0 80 27
1 84.014328 80 1 80 27
0 84.003281 80 0 80 27
3 84.003281 100 0 80 27
1 84.003281 70 1 70 27
0 84.003281 70 0 70 27
1 84.003281 70 1 70 26
0 84.003281 70 0 70 26
2 84.003281 70 2 70 26
0 101.738998 70 0 70 26
1 101.738998 70 1 70 26
0 101.323898 70 0 70 25
2 101.323898 70 2 70 25
3 112.820206 100 2 70 25
1 136.737503 70 1 70 25
3 143.430161 100 1 70 25
0 84.065567 70 0 70 25
3 84.011795 100 0 70 24
3 84.011795 100 0 60 24
1 84.011795 50 1 50 24
0 84.011795 50 0 50 24
3 84.011795 100 0 50 24
1 84.011795 50 1 50 23
0 84.011795 50 0 50 23
3 84.011795 100 0 50 23
3 84.011795 100 0 40 23
2 84.011795 40 2 40 23
3 88.431595 100 2 40 23
3 138.657272 100 2 40 23
1 147.518692 40 1 40 23
3 124.146622 100 1 40 22
0 88.943527 40 0 40 22
3 88.943527 100 0 40 22
1 88.943527 40 1 40 22
0 84.100845 40 0 40 22
3 84.023911 100 0 40 22
3 84.023911 100 0 30 21
2 84.023911 30 2 30 21
3 91.621170 100 2 30 21
0 112.899673 30 0 30 21
2 112.899673 30 2 30 21
3 130.216599 100 2 30 21
1 169.634262 30 1 30 20
3 135.461777 100 1 30 20
0 84.100357 30 0 30 20
3 84.019485 100 0 30 20
3 84.019485 100 0 30 20
3 84.019485 100 0 30 19
2 84.019485 20 2 20 19
3 87.180130 100 2 10 19
1 222.405472 10 1 10 19
3 230.468826 100 1 10 18
3 89.067673 100 1 10 18
0 84.067612 10 0 10 18
3 84.006119 100 0 10 18
3 84.006119 100 0 10 17
